,response,points,points_after,energy,energy_after,reward,energy_cost,trial,segment,segment_after,transition,reaction_time,timeout,energy_out,stimulus_onset,response_onset,selection_onset,feedback_onset,iti_onset,vpn,dv_planning_old,dv_planning,dv_myopic_planning,dv_simple,dv_OCR,dv_AVGRR,conflict_planning_old,conflict_planning,conflict_myopic_planning,is_full_energy,is_low_energy_LC,is_low_energy_HC,is_basic_1,is_basic_2,is_basic_3,is_basic_4,is_basic,is_1,is_2,is_3,is_4,is_23,is_14,index
25,1,26,26,1,2,4,1,1,0,0,0,0.13402999999999998,0,0,1272.4,1272.9,1273.0,1274.1,1275.1,122,0.662109375,0.95806884765625,0.5,1.5,2.333333333333333,1.5,-0.662109375,-0.95806884765625,-0.5,0,0,0,0,0,0,1,1,0,0,0,1,0,1,25
26,1,26,26,2,3,4,1,2,0,0,0,0.67155,0,0,1276.1,1276.6,1277.3,1278.3,1279.3,122,0.8828125,1.4161376953125,0.6666666666666661,1.5,2.333333333333333,1.5,-0.8828125,-1.4161376953125,-0.6666666666666661,0,0,0,0,0,0,1,1,0,0,0,1,0,1,26
27,0,26,30,3,2,4,1,3,0,0,0,0.84285,0,0,1280.3,1280.9,1281.7,1282.7,1283.8,122,1.03125,1.796142578125,0.666666666666667,1.5,2.333333333333333,1.5,-1.03125,-1.796142578125,-0.666666666666667,0,0,0,0,0,0,1,1,0,0,0,1,0,1,27
28,0,30,34,2,1,4,1,0,0,0,0,0.0004951,0,0,1284.8,1285.3,1285.3,1286.3,1287.3,122,1.01416015625,1.3355712890625,0.625,1.5,2.333333333333333,1.5,-1.01416015625,-1.3355712890625,-0.625,0,0,0,0,0,0,1,1,0,0,0,1,0,1,28
29,1,34,34,1,2,3,1,1,0,0,0,0.18004,0,0,1288.4,1288.9,1289.1,1290.1,1291.1,122,-0.337890625,-0.04193115234375,-0.5,0.5,1.3333333333333333,0.5,-0.337890625,-0.04193115234375,-0.5,0,0,0,0,0,1,0,1,0,0,1,0,1,0,29
30,0,34,37,2,1,3,1,2,0,0,0,0.27809,0,0,1292.1,1292.6,1292.9,1294.0,1295.0,122,-0.1171875,0.4161376953125,-0.3333333333333339,0.5,1.3333333333333333,0.5,-0.1171875,-0.4161376953125,-0.3333333333333339,0,0,0,0,0,1,0,1,0,0,1,0,1,0,30
31,1,37,37,1,2,3,1,3,0,0,0,0.45788999999999996,0,0,1296.0,1296.5,1297.0,1298.0,1299.0,122,-0.53125,0.0361328125,-0.3333333333333335,0.5,1.3333333333333333,0.5,-0.53125,-0.0361328125,-0.3333333333333335,0,0,0,0,0,1,0,1,0,0,1,0,1,0,31
32,1,37,37,2,3,2,1,0,0,0,0,0.2118,0,0,1300.0,1300.5,1300.8,1301.8,1302.8,122,-0.98583984375,-0.6644287109375,-1.375,-0.5,0.33333333333333326,-0.5,-0.98583984375,-0.6644287109375,-1.375,0,0,0,0,1,0,0,1,0,1,0,0,1,0,32
33,0,37,38,3,2,1,1,1,0,0,0,1.4818,0,0,1303.8,1304.3,1305.8,1306.9,1307.9,122,-1.802734375,-1.307891845703125,-2.333333333333334,-1.5,-0.6666666666666667,-1.5,-1.802734375,-1.307891845703125,-2.333333333333334,0,0,0,1,0,0,0,1,1,0,0,0,0,1,33
34,0,38,41,2,1,3,1,2,0,0,0,0.99303,0,0,1308.9,1309.4,1310.4,1311.4,1312.5,122,-0.1171875,0.4161376953125,-0.3333333333333339,0.5,1.3333333333333333,0.5,-0.1171875,-0.4161376953125,-0.3333333333333339,0,0,0,0,0,1,0,1,0,0,1,0,1,0,34
35,0,41,43,1,0,2,1,3,0,0,0,1.922,0,0,1313.5,1314.0,1315.9,1316.9,1318.0,122,-1.53125,-0.9638671875,-1.3333333333333335,-0.5,0.33333333333333326,-0.5,-1.53125,-0.9638671875,-1.3333333333333335,0,0,0,0,1,0,0,1,0,1,0,0,1,0,35
36,1,43,43,0,1,2,1,0,0,1,2,0.8323799999999999,0,0,1319.0,1319.5,1320.3,1321.4,1322.4,122,-1.9274088541666679,-1.7573394775390625,-1.833333333333333,-0.5,0.33333333333333326,0.33333333333333326,-1.9274088541666679,-1.7573394775390625,-1.833333333333333,0,1,0,0,0,0,0,0,0,1,0,0,1,0,36
37,1,43,43,1,2,4,1,1,0,1,2,0.25556999999999996,0,0,1323.4,1323.9,1324.2,1325.2,1326.2,122,1.0006510416666679,1.187957763671875,0.5,1.5,2.333333333333333,2.409090909090909,-1.0006510416666679,-1.187957763671875,-0.5,0,0,0,0,0,0,1,1,0,0,0,1,0,1,37
